id,text,type,meaning_ja,created_at,updated_at
1,under the weather,idiom,体調が悪い,2024-08-07T03:39:08.594Z,2024-08-07T03:39:08.594Z
2,decide,verb,決める,2024-08-07T03:39:08.594Z,2024-08-07T03:39:08.594Z
3,home,noun,家,2024-08-07T03:39:08.594Z,2024-08-07T03:39:08.594Z
7,rest,verb,休む,2024-08-07T03:39:08.594Z,2024-08-07T03:39:08.594Z
8,drink,verb,飲む,2024-08-07T03:39:08.594Z,2024-08-07T03:39:08.594Z
9,hot tea,noun,熱いお茶,2024-08-07T03:39:08.594Z,2024-08-07T03:39:08.594Z
10,feel better,idiom,気分が良くなる,2024-08-07T03:39:08.594Z,2024-08-07T03:39:08.594Z
1,bite the bullet,idiom,思い切ってやる,2024-08-07T03:50:48.332Z,2024-08-07T03:50:48.332Z
2,decide,verb,決める,2024-08-07T03:50:48.332Z,2024-08-07T03:50:48.332Z
3,quit,verb,辞める,2024-08-07T03:50:48.332Z,2024-08-07T03:50:48.332Z
4,dream,noun,夢,2024-08-07T03:50:48.332Z,2024-08-07T03:50:48.332Z
5,writer,noun,作家,2024-08-07T03:50:48.332Z,2024-08-07T03:50:48.332Z
11,know,verb,知る,2024-08-07T03:50:48.332Z,2024-08-07T03:50:48.332Z
12,easy,adjective,簡単な,2024-08-07T03:50:48.332Z,2024-08-07T03:50:48.332Z
13,feel,verb,感じる,2024-08-07T03:50:48.332Z,2024-08-07T03:50:48.332Z
14,right time,noun,適した時期,2024-08-07T03:50:48.332Z,2024-08-07T03:50:48.332Z
15,take the risk,idiom,リスクを取る,2024-08-07T03:50:48.332Z,2024-08-07T03:50:48.332Z
